smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_monthly_eur,social_wedge_rate,cost_to_net_ratio
0.8,1441.44,1124.32,1556.76,317.12,115.32,0.22,0.08,432.43,0.2778,1.3846
0.85,1531.53,1194.59,1654.05,336.94,122.52,0.22,0.08,459.46,0.2778,1.3846
0.9,1621.62,1264.86,1751.35,356.76,129.73,0.22,0.08,486.49,0.2778,1.3846
0.95,1711.71,1335.13,1848.65,376.58,136.94,0.22,0.08,513.51,0.2778,1.3846
1.0,1801.8,1405.4,1945.94,396.4,144.14,0.22,0.08,540.54,0.2778,1.3846
1.05,1891.89,1475.67,2096.84,416.22,204.95,0.22,0.1083,621.17,0.2962,1.4209
1.1,1981.98,1545.94,2252.85,436.04,270.87,0.22,0.1367,706.91,0.3138,1.4573
1.15,2072.07,1616.21,2413.96,455.86,341.89,0.22,0.165,797.75,0.3305,1.4936
1.2,2162.16,1686.48,2580.18,475.68,418.02,0.22,0.1933,893.69,0.3464,1.5299
1.25,2252.25,1756.76,2751.5,495.5,499.25,0.22,0.2217,994.74,0.3615,1.5662
1.3,2342.34,1827.03,2927.93,515.31,585.59,0.22,0.25,1100.9,0.376,1.6026
1.35,2432.43,1897.3,3109.46,535.13,677.03,0.22,0.2783,1212.16,0.3898,1.6389
1.4,2522.52,1967.57,3296.09,554.95,773.57,0.22,0.3067,1328.53,0.4031,1.6752
1.45,2612.61,2037.84,3487.83,574.77,875.22,0.22,0.335,1450.0,0.4157,1.7115
1.5,2702.7,2108.11,3684.68,594.59,981.98,0.22,0.3633,1576.57,0.4279,1.7479
1.55,2792.79,2178.38,3886.63,614.41,1093.84,0.22,0.3917,1708.26,0.4395,1.7842
1.6,2882.88,2248.65,4093.69,634.23,1210.81,0.22,0.42,1845.04,0.4507,1.8205
1.65,2972.97,2318.92,4221.62,654.05,1248.65,0.22,0.42,1902.7,0.4507,1.8205
1.7,3063.06,2389.19,4349.55,673.87,1286.49,0.22,0.42,1960.36,0.4507,1.8205
1.75,3153.15,2459.46,4477.47,693.69,1324.32,0.22,0.42,2018.02,0.4507,1.8205
1.8,3243.24,2529.73,4605.4,713.51,1362.16,0.22,0.42,2075.67,0.4507,1.8205
1.85,3333.33,2600.0,4733.33,733.33,1400.0,0.22,0.42,2133.33,0.4507,1.8205
1.9,3423.42,2670.27,4861.26,753.15,1437.84,0.22,0.42,2190.99,0.4507,1.8205
1.95,3513.51,2740.54,4989.18,772.97,1475.67,0.22,0.42,2248.65,0.4507,1.8205
2.0,3603.6,2810.81,5117.11,792.79,1513.51,0.22,0.42,2306.3,0.4507,1.8205
2.05,3693.69,2881.08,5245.04,812.61,1551.35,0.22,0.42,2363.96,0.4507,1.8205
2.1,3783.78,2951.35,5372.97,832.43,1589.19,0.22,0.42,2421.62,0.4507,1.8205
2.15,3873.87,3021.62,5500.9,852.25,1627.03,0.22,0.42,2479.28,0.4507,1.8205
2.2,3963.96,3091.89,5628.82,872.07,1664.86,0.22,0.42,2536.93,0.4507,1.8205
2.25,4054.05,3162.16,5756.75,891.89,1702.7,0.22,0.42,2594.59,0.4507,1.8205
2.3,4144.14,3232.43,5884.68,911.71,1740.54,0.22,0.42,2652.25,0.4507,1.8205
2.35,4234.23,3302.7,6012.61,931.53,1778.38,0.22,0.42,2709.91,0.4507,1.8205
2.4,4324.32,3372.97,6140.53,951.35,1816.21,0.22,0.42,2767.56,0.4507,1.8205
2.45,4414.41,3443.24,6268.46,971.17,1854.05,0.22,0.42,2825.22,0.4507,1.8205
2.5,4504.5,3513.51,6396.39,990.99,1891.89,0.22,0.42,2882.88,0.4507,1.8205
2.55,4594.59,3583.78,6524.32,1010.81,1929.73,0.22,0.42,2940.54,0.4507,1.8205
2.6,4684.68,3654.05,6652.25,1030.63,1967.57,0.22,0.42,2998.2,0.4507,1.8205
2.65,4774.77,3724.32,6780.17,1050.45,2005.4,0.22,0.42,3055.85,0.4507,1.8205
2.7,4864.86,3794.59,6908.1,1070.27,2043.24,0.22,0.42,3113.51,0.4507,1.8205
2.75,4954.95,3864.86,7036.03,1090.09,2081.08,0.22,0.42,3171.17,0.4507,1.8205
2.8,5045.04,3935.13,7163.96,1109.91,2118.92,0.22,0.42,3228.83,0.4507,1.8205
2.85,5135.13,4005.4,7291.88,1129.73,2156.75,0.22,0.42,3286.48,0.4507,1.8205
2.9,5225.22,4075.67,7419.81,1149.55,2194.59,0.22,0.42,3344.14,0.4507,1.8205
2.95,5315.31,4145.94,7547.74,1169.37,2232.43,0.22,0.42,3401.8,0.4507,1.8205
3.0,5405.4,4216.21,7675.67,1189.19,2270.27,0.22,0.42,3459.46,0.4507,1.8205
3.05,5495.49,4286.48,7803.6,1209.01,2308.11,0.22,0.42,3517.11,0.4507,1.8205
3.1,5585.58,4356.75,7931.52,1228.83,2345.94,0.22,0.42,3574.77,0.4507,1.8205
3.15,5675.67,4427.02,8059.45,1248.65,2383.78,0.22,0.42,3632.43,0.4507,1.8205
3.2,5765.76,4497.29,8187.38,1268.47,2421.62,0.22,0.42,3690.09,0.4507,1.8205
3.25,5855.85,4567.56,8315.31,1288.29,2459.46,0.22,0.42,3747.74,0.4507,1.8205
3.3,5945.94,4637.83,8443.23,1308.11,2497.29,0.22,0.42,3805.4,0.4507,1.8205
3.35,6036.03,4708.1,8571.16,1327.93,2535.13,0.22,0.42,3863.06,0.4507,1.8205
3.4,6126.12,4778.37,8699.09,1347.75,2572.97,0.22,0.42,3920.72,0.4507,1.8205
3.45,6216.21,4848.64,8827.02,1367.57,2610.81,0.22,0.42,3978.37,0.4507,1.8205
3.5,6306.3,4918.91,8954.95,1387.39,2648.65,0.22,0.42,4036.03,0.4507,1.8205
